Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
23*,-,19,2,0,121.05,5,not out,1,v New Zealand,Wellington,6 Mar 2009
68,76,58,5,2,117.24,5,caught,1,v New Zealand,Christchurch,8 Mar 2009
DNB,-,-,-,-,-,-,-,2,v New Zealand,Hamilton,11 Mar 2009
9,19,21,1,0,42.85,6,bowled,1,v New Zealand,Auckland,14 Mar 2009
41,81,46,2,1,89.13,5,run out,1,v West Indies,Kingston,26 Jun 2009
95,201,130,6,2,73.07,5,bowled,1,v West Indies,Kingston,28 Jun 2009
46*,50,34,2,1,135.29,3,not out,2,v West Indies,Gros Islet,3 Jul 2009
TDNB,-,-,-,-,-,-,-,-,v West Indies,Gros Islet,5 Jul 2009
35*,86,65,4,0,53.84,5,not out,2,v New Zealand,Colombo (RPS),11 Sep 2009
8,24,18,0,0,44.44,6,bowled,2,v Sri Lanka,Colombo (RPS),12 Sep 2009
56,82,62,3,0,90.32,3,caught,1,v Sri Lanka,Colombo (RPS),14 Sep 2009
3,8,9,0,0,33.33,5,lbw,2,v Pakistan,Centurion,26 Sep 2009
TDNB,-,-,-,-,-,-,-,-,v Australia,Centurion,28 Sep 2009
DNB,-,-,-,-,-,-,-,2,v West Indies,Johannesburg,30 Sep 2009
34,75,46,4,0,73.91,5,caught,2,v Australia,Vadodara,25 Oct 2009
124,141,107,9,3,115.88,5,caught,1,v Australia,Nagpur,28 Oct 2009
71*,153,95,6,0,74.73,5,not out,2,v Australia,Delhi,31 Oct 2009
26,58,46,2,0,56.52,5,caught,2,v Australia,Mohali,2 Nov 2009
6,17,15,0,0,40.00,5,caught,2,v Australia,Hyderabad,5 Nov 2009
24,97,77,1,0,31.16,5,lbw,1,v Australia,Guwahati,8 Nov 2009
72,78,53,7,3,135.84,3,caught,1,v Sri Lanka,Rajkot,15 Dec 2009
107,135,111,8,2,96.39,5,caught,1,v Sri Lanka,Nagpur,18 Dec 2009
TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Delhi,27 Dec 2009
37,85,70,3,0,52.85,5,caught,1,v Sri Lanka,Mirpur,5 Jan 2010
101*,167,107,9,0,94.39,5,not out,2,v Bangladesh,Mirpur,7 Jan 2010
DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Mirpur,10 Jan 2010
32,53,35,3,0,91.42,5,caught,2,v Bangladesh,Mirpur,11 Jan 2010
14,23,19,3,0,73.68,5,caught,1,v Sri Lanka,Mirpur,13 Jan 2010
26,-,29,2,0,89.65,4,caught,1,v South Africa,Jaipur,21 Feb 2010
68*,37,35,7,4,194.28,5,not out,1,v South Africa,Gwalior,24 Feb 2010
9,-,7,0,1,128.57,5,caught,2,v South Africa,Ahmedabad,27 Feb 2010
38*,63,45,3,1,84.44,5,not out,2,v Bangladesh,Dambulla,16 Jun 2010
56,91,71,2,1,78.87,4,bowled,2,v Pakistan,Dambulla,19 Jun 2010
41,59,53,6,0,77.35,6,run out,1,v Sri Lanka,Dambulla,22 Jun 2010
38,51,50,2,1,76.00,4,caught,1,v Sri Lanka,Dambulla,24 Jun 2010
2,14,9,0,0,22.22,6,run out,2,v New Zealand,Dambulla,10 Aug 2010
23*,56,38,2,0,60.52,6,not out,2,v Sri Lanka,Dambulla,16 Aug 2010
10,-,16,2,0,62.50,6,caught,1,v Sri Lanka,Dambulla,22 Aug 2010
38,96,75,3,0,50.66,6,caught,1,v New Zealand,Dambulla,25 Aug 2010
67,140,100,5,1,67.00,5,bowled,2,v Sri Lanka,Dambulla,28 Aug 2010
0,3,1,0,0,0.00,6,bowled,2,v Australia,Visakhapatnam,20 Oct 2010
25,48,35,1,0,71.42,6,run out,2,v South Africa,Durban,12 Jan 2011
38,101,61,1,0,62.29,5,bowled,1,v South Africa,Johannesburg,15 Jan 2011
5,15,12,1,0,41.66,5,caught,2,v South Africa,Cape Town,18 Jan 2011
2,9,8,0,0,25.00,6,caught,2,v South Africa,Gqeberha,21 Jan 2011
5,11,10,1,0,50.00,4,caught,2,v South Africa,Centurion,23 Jan 2011
DNB,-,-,-,-,-,-,-,1,v Bangladesh,Mirpur,19 Feb 2011
31,38,25,3,1,124.00,5,caught,1,v England,Bengaluru,27 Feb 2011
34,68,50,2,0,68.00,6,lbw,2,v Ireland,Bengaluru,6 Mar 2011
19*,56,40,2,0,47.50,7,not out,2,v Netherlands,Delhi,9 Mar 2011
12*,37,21,0,0,57.14,6,not out,1,v South Africa,Nagpur,12 Mar 2011
22,41,30,1,0,73.33,5,stumped,1,v West Indies,Chennai,20 Mar 2011
7,19,8,1,0,87.50,6,caught,2,v Australia,Ahmedabad,24 Mar 2011
25,64,42,2,0,59.52,6,lbw,1,v Pakistan,Mohali,30 Mar 2011
91*,128,79,8,2,115.18,5,not out,2,v Sri Lanka,Wankhede,2 Apr 2011
33,41,36,2,0,91.66,7,caught,1,v England,Chester-le-Street,3 Sep 2011
6,9,5,1,0,120.00,6,caught,1,v England,Southampton,6 Sep 2011
69,142,103,5,0,66.99,6,caught,1,v England,The Oval,9 Sep 2011
78*,110,71,6,3,109.85,6,not out,1,v England,Lord's,11 Sep 2011
50*,35,26,5,2,192.30,6,not out,1,v England,Cardiff,16 Sep 2011
87*,104,70,10,1,124.28,6,not out,1,v England,Hyderabad,14 Oct 2011
DNB,-,-,-,-,-,-,-,2,v England,Delhi,17 Oct 2011
35*,53,31,3,0,112.90,6,not out,2,v England,Mohali,20 Oct 2011
15*,-,18,1,1,83.33,6,not out,2,v England,Wankhede,23 Oct 2011
75*,103,69,3,4,108.69,6,not out,1,v England,Eden Gardens,25 Oct 2011
29,61,38,1,0,76.31,6,caught,2,v Australia,Melbourne,5 Feb 2012
4,6,5,1,0,80.00,6,caught,2,v Sri Lanka,Perth,8 Feb 2012
44*,76,58,0,1,75.86,6,not out,2,v Australia,Adelaide,12 Feb 2012
58*,113,69,3,1,84.05,6,not out,2,v Sri Lanka,Adelaide,14 Feb 2012
56,115,84,2,1,66.66,6,caught,2,v Australia,Brisbane,19 Feb 2012
14,68,49,0,0,28.57,6,lbw,2,v Australia,Sydney,26 Feb 2012
DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Hobart,28 Feb 2012
